Tanggal,Harga_Aktual,Prediksi_LSTM
2025-11-14,8018.6455078125,8116.5903
2025-11-17,8161.41064453125,8079.265
2025-11-18,7994.85107421875,8080.814
2025-11-19,8066.2333984375,8071.0693
2025-11-20,8018.6455078125,8071.218
2025-11-21,7994.85107421875,8067.8257
2025-11-24,8066.2333984375,8059.352
2025-11-25,8090.02734375,8063.1855
2025-11-26,8018.6455078125,8076.843
2025-11-27,7923.46826171875,8080.037
2025-11-28,7875.8798828125,8060.385
2025-12-01,7994.85107421875,8024.4365
2025-12-02,7971.05712890625,8008.5186
2025-12-03,7951.8955078125,8000.763
2025-12-04,7880.04150390625,7995.006
2025-12-05,7951.8955078125,7978.2656
2025-12-08,7951.8955078125,7972.3535
2025-12-09,7760.28369140625,7972.779
2025-12-10,7736.33251953125,7941.378
2025-12-11,7664.47802734375,7895.776
2025-12-12,7664.47802734375,7838.1284
2025-12-15,7951.8955078125,7784.789
2025-12-16,7736.33251953125,7795.501
2025-12-17,7688.42919921875,7796.3726
2025-12-18,7832.13818359375,7784.078
2025-12-19,7712.380859375,7793.961
2025-12-22,7832.13818359375,7791.1045
2025-12-23,7688.42919921875,7804.5884
2025-12-24,7688.42919921875,7797.3867
2025-12-29,7688.42919921875,7781.453
2025-12-30,7736.33251953125,7763.957
2026-01-02,7688.42919921875,7757.4375
2026-01-05,7736.33251953125,7748.627
2026-01-06,7832.13818359375,7749.04
2026-01-07,7808.18701171875,7771.3657
2026-01-08,7712.380859375,7796.073
2026-01-09,7784.2353515625,7800.161
2026-01-12,7688.42919921875,7806.591
2026-01-13,7736.33251953125,7795.3564
2026-01-14,7664.47802734375,7786.1543
2026-01-15,7736.33251953125,7766.2837
2026-01-19,7784.2353515625,7757.78
2026-01-20,7664.47802734375,7764.9883
2026-01-21,7377.06005859375,7756.7656
2026-01-22,7329.15673828125,7690.211
2026-01-23,7329.15673828125,7598.229
2026-01-26,7329.15673828125,7509.8584
2026-01-27,7185.44775390625,7438.8633
2026-01-28,6730.36962890625,7362.9946
2026-01-29,6898.0302734375,7215.8467
2026-01-30,7089.64208984375,7090.55
2026-02-02,7281.25390625,7033.276
2026-02-03,7329.15673828125,7055.1724
2026-02-04,7472.86572265625,7121.651
2026-02-05,7472.86572265625,7225.3706
2026-02-06,7353.1083984375,7329.494
2026-02-09,7185.44775390625,7393.7656
2026-02-10,7161.49658203125,7396.5356
2026-02-11,7137.544921875,7363.939
2026-02-12,7017.78759765625,7314.6836
2026-02-13,6898.0302734375,7243.48
2026-02-18,6969.884765625,7151.8247
