ds,y
2021-03-08,5678.369140625
2021-03-09,5581.193359375
2021-03-10,5665.693359375
2021-03-12,5716.3935546875
2021-03-15,5631.8935546875
2021-03-16,5598.09375
2021-03-17,5585.4189453125
2021-03-18,5665.693359375
2021-03-19,5712.16845703125
2021-03-22,5593.869140625
2021-03-23,5547.39453125
2021-03-24,5441.76953125
2021-03-25,5382.6201171875
2021-03-26,5420.64453125
2021-03-29,5374.17041015625
2021-03-30,5403.74462890625
2021-03-31,5251.64599609375
2021-04-01,5260.09619140625
2021-04-05,5200.94580078125
2021-04-06,5209.39599609375
2021-04-07,5281.220703125
2021-04-08,5256.7158203125
2021-04-09,5312.40966796875
2021-04-12,5196.73583984375
2021-04-13,5141.0419921875
2021-04-14,5402.3779296875
2021-04-15,5380.95703125
2021-04-16,5376.67333984375
2021-04-19,5372.388671875
2021-04-20,5342.3994140625
2021-04-21,5282.4208984375
2021-04-22,5325.26220703125
2021-04-23,5475.20947265625
2021-04-26,5385.2412109375
2021-04-27,5488.06201171875
2021-04-28,5415.22998046875
2021-04-29,5492.3466796875
2021-04-30,5488.06201171875
2021-05-03,5475.20947265625
2021-05-04,5483.77685546875
2021-05-05,5505.1982421875
2021-05-06,5505.1982421875
2021-05-07,5483.77685546875
2021-05-10,5500.9150390625
2021-05-11,5552.3251953125
2021-05-17,5569.4619140625
2021-05-18,5475.20947265625
2021-05-19,5436.6513671875
2021-05-20,5466.64111328125
2021-05-21,5449.50439453125
2021-05-24,5419.51416015625
2021-05-25,5445.2197265625
2021-05-27,5372.388671875
2021-05-28,5432.36767578125
2021-05-31,5462.3564453125
2021-06-02,5539.47119140625
2021-06-03,5655.14501953125
2021-06-04,5638.00927734375
2021-06-07,5595.1669921875
2021-06-08,5509.4833984375
2021-06-09,5595.1669921875
2021-06-10,5672.28271484375
2021-06-11,5543.75634765625
2021-06-14,5492.3466796875
2021-06-15,5543.75634765625
2021-06-16,5470.92529296875
2021-06-17,5423.798828125
2021-06-18,5419.51416015625
2021-06-21,5355.25146484375
