Tanggal,Harga_Aktual,Prediksi_Prophet,Batas_Bawah_Pasti,Batas_Atas_Pasti
2025-09-17,7471.37890625,10840.218818069741,10005.320783413204,11791.754797256554
2025-09-18,7328.61328125,10844.812325882403,10010.890925515554,11753.801145804156
2025-09-19,7423.7900390625,10842.789708675038,9988.831371381128,11788.752444656595
2025-09-22,7352.40771484375,10839.609984413542,9949.45750628211,11751.23405282144
2025-09-23,7495.1728515625,10843.564429057295,9941.082295142676,11809.06459918034
2025-09-24,7399.99560546875,10846.169926175526,9925.47617736344,11854.404415940897
2025-09-25,7328.61328125,10855.184548060395,9986.545311281196,11824.681218634632
2025-09-26,7257.23095703125,10857.449329629831,9960.225481399262,11824.634444462872
2025-09-29,7399.99560546875,10865.795115573943,9921.807204655137,11844.544692761514
2025-09-30,7257.23095703125,10873.015991510167,9956.349635790128,11870.172655112981
2025-10-01,7138.259765625,10878.5603786814,9944.908471873208,11899.361933957302
2025-10-02,7138.259765625,10890.177251191595,9973.79077256726,11866.836217042894
2025-10-03,7162.05419921875,10894.707753628254,9978.531486942678,11971.558832646191
2025-10-06,7138.259765625,10907.952949622906,9988.171524539126,11940.781978051606
2025-10-07,7209.64208984375,10916.247456174931,9957.609763383696,11951.044875685173
2025-10-08,7019.28857421875,10922.634263650049,10029.728727881286,11944.879992055847
2025-10-09,7185.8486328125,10934.89592309732,9990.826663619246,12008.984110345615
2025-10-10,7043.0830078125,10939.908277743834,9921.394341495086,11955.300376491754
2025-10-13,6971.70068359375,10953.959527244007,9928.589674197961,12016.71396230599
2025-10-14,6900.31787109375,10962.411761481651,9985.544959155404,11978.76370083592
2025-10-15,6900.31787109375,10968.943596626417,9994.253359942068,12064.518322678123
2025-10-16,6947.90625,10981.35688768439,9965.911066907756,12072.696092080301
2025-10-17,7138.259765625,10986.541978652576,9987.387401311278,12073.955337604106
2025-10-20,7495.1728515625,11001.309286227523,9985.613597111895,12143.351059472452
2025-10-21,8066.2333984375,11010.066393480422,9970.407104417216,12133.425305351488
2025-10-22,7804.4970703125,11016.925849702417,10060.93413129378,12193.702479725724
2025-10-23,7923.46826171875,11029.678163560891,9985.712554730517,12156.539590724853
2025-10-24,7875.8798828125,11035.19984849321,10007.032159138867,12165.353263139037
2025-10-27,7947.2626953125,11050.802743414672,10031.652117524623,12111.8299303517
2025-10-28,7875.8798828125,11059.72536656031,10083.96686747105,12219.923843833816
2025-10-29,8185.20458984375,11066.668023819637,10001.18725281648,12211.645709899563
2025-10-30,8113.82177734375,11079.408082089161,10012.158689619382,12231.823736700951
2025-10-31,8113.82177734375,11084.811201535469,10028.304897039137,12284.268172679473
2025-11-03,8232.79296875,11099.353252545983,10024.916648912003,12256.196818665181
2025-11-04,8232.79296875,11107.679667828785,10034.891385994477,12226.969970768241
2025-11-05,8280.380859375,11113.908476629062,10043.364577790395,12299.27263372651
2025-11-06,8137.6162109375,11125.823360198485,9991.983443853635,12389.04059541266
2025-11-07,8256.5869140625,11130.298626161008,10006.381352911167,12330.902107621703
2025-11-10,8161.41064453125,11141.553682570122,10043.473329292472,12286.192356858961
2025-11-11,7994.85107421875,11148.659551580356,10083.968019122034,12347.613838461155
2025-11-12,8090.02734375,11153.627801256267,10050.139796309943,12408.246614069896
2025-11-13,7971.05712890625,11164.255155294753,10066.303129765338,12400.20655609562
2025-11-14,8018.6455078125,11167.428107498768,10003.688244751133,12474.733765421997
2025-11-17,8161.41064453125,11174.790331365099,9993.349224901005,12448.065954737365
2025-11-18,7994.85107421875,11180.629999319563,10021.368269421177,12497.820002298435
2025-11-19,8066.2333984375,11184.357182518866,10007.001930526741,12449.470821279865
2025-11-20,8018.6455078125,11193.772106675273,9985.85101210109,12487.61877128511
2025-11-21,7994.85107421875,11195.763640447092,10031.715071856985,12511.63928574568
2025-11-24,8066.2333984375,11199.781892376794,10017.580021095708,12447.336992604825
2025-11-25,8090.02734375,11204.578164828721,9995.981224655861,12528.08921579697
2025-11-26,8018.6455078125,11207.301301771946,10005.33801793331,12498.176324925482
2025-11-27,7923.46826171875,11215.75558034495,9982.016092327025,12501.566891639788
2025-11-28,7875.8798828125,11216.83569571573,9943.465655432128,12507.886553701703
2025-12-01,7994.85107421875,11218.505915611888,10020.717596442797,12542.548146381821
2025-12-02,7971.05712890625,11222.69045507854,10033.563594799902,12526.615883220684
2025-12-03,7951.8955078125,11224.914361416813,9994.734123799917,12569.05599118629
2025-12-04,7880.04150390625,11233.001303096153,9941.485304585723,12578.720538899126
2025-12-05,7951.8955078125,11233.866974921135,10022.301360931553,12624.254953592437
2025-12-08,7951.8955078125,11236.033296792344,9946.386808265643,12574.199146667539
2025-12-09,7760.28369140625,11240.836051398304,10030.617603984221,12584.551584557394
2025-12-10,7736.33251953125,11243.937737966473,9992.657658157139,12722.259695128747
2025-12-11,7664.47802734375,11253.178017889846,9942.274570636524,12641.787290844926
2025-12-12,7664.47802734375,11255.484721155597,9969.372663921424,12697.29503994731
2025-12-15,7951.8955078125,11263.746239489814,10003.917356219636,12719.608237913917
2025-12-16,7736.33251953125,11271.156613241747,9973.939988548827,12727.996930422816
2025-12-17,7688.42919921875,11277.129509150634,9962.554134624073,12728.71857143169
2025-12-18,7832.13818359375,11289.47914582359,9968.504203964661,12794.459171930459
2025-12-19,7712.380859375,11295.100612180848,9971.493654604403,12709.738813861171
2025-12-22,7832.13818359375,11314.108407921214,9999.717369946524,12831.954405193994
2025-12-23,7688.42919921875,11325.194610894669,9981.903608400915,12824.400331128885
2025-12-24,7688.42919921875,11334.791481738725,10019.898968347468,12819.739709339201
2025-12-29,7688.42919921875,11386.864071061425,10025.700470305925,12812.58314660571
2025-12-30,7736.33251953125,11399.932670283404,10077.716829418381,12928.98034950626
2026-01-02,7688.42919921875,11437.321233781131,10019.754187521072,12941.364642836503
2026-01-05,7736.33251953125,11462.637536406883,10022.237664005916,12953.98129546996
2026-01-06,7832.13818359375,11473.956821502361,10144.899681532022,13082.354163182286
2026-01-07,7808.18701171875,11482.807872916603,10117.512844085157,13004.525501451808
2026-01-08,7712.380859375,11496.944500966016,10141.117309353845,13020.633977686142
2026-01-09,7784.2353515625,11503.221252699022,10129.24692648794,13070.406891724078
2026-01-12,7688.42919921875,11517.328567954892,10123.845532498171,13107.527734942412
2026-01-13,7736.33251953125,11524.582671612718,10087.363611262386,13056.063510193331
2026-01-14,7664.47802734375,11529.351292874793,10056.587106549205,13105.545194273016
2026-01-15,7736.33251953125,11539.479958761569,10071.177323211534,13119.039858766222
2026-01-19,7784.2353515625,11546.329931395276,10053.143597306727,13129.511800045186
2026-01-20,7664.47802734375,11551.210656472378,10089.27744325964,13132.147100778648
2026-01-21,7377.06005859375,11554.131190554097,10095.021427216061,13153.534223881612
2026-01-22,7329.15673828125,11562.975943310057,10030.873430735715,13159.998829049317
2026-01-23,7329.15673828125,11564.714398653417,10121.041909699657,13230.47986066535
2026-01-26,7329.15673828125,11570.576410189691,10063.00083022816,13131.89302433765
2026-01-27,7185.44775390625,11577.036434982572,10104.302228912044,13203.856679719675
2026-01-28,6730.36962890625,11582.005026109662,10095.73244994314,13239.269379640667
2026-01-29,6898.0302734375,11593.296638353135,10092.866304606445,13254.890189205194
2026-01-30,7089.64208984375,11597.798064595363,10107.623197804865,13245.327467684288
2026-02-02,7281.25390625,11612.869524493666,10067.260722594272,13253.093328364386
2026-02-03,7329.15673828125,11622.347715342508,10084.616857101742,13311.045804277763
2026-02-04,7472.86572265625,11630.122142218834,10081.706339773069,13276.919397695152
2026-02-05,7472.86572265625,11643.896935755169,10071.65092845719,13415.556700490033
2026-02-06,7353.1083984375,11650.453634327709,10038.043905343602,13389.329097082074
2026-02-09,7185.44775390625,11668.20423554068,10120.622909600732,13431.111615192374
2026-02-10,7161.49658203125,11677.168509892072,10085.033111250623,13393.183778971243
2026-02-11,7137.544921875,11683.641284839961,10114.905395512733,13355.552077031962
2026-02-12,7017.78759765625,11695.302368225208,10067.511589503833,13371.446506442982
2026-02-13,6898.0302734375,11698.92791723672,10142.844240390683,13464.90168669776
2026-02-18,6969.884765625,11706.348058052816,10121.942864121971,13451.469864855977
2026-02-19,6874.07861328125,11711.11311663676,10100.385859002927,13462.492852908315
