Tanggal,Harga_Aktual,Prediksi_HoltWinters
2025-07-18,8018.6455078125,9726.719201363
2025-07-21,8042.43994140625,9738.319057880168
2025-07-22,7994.85107421875,9732.764341641334
2025-07-23,8018.6455078125,9735.149026334522
2025-07-24,8090.02734375,9740.891870361133
2025-07-25,8042.43994140625,9739.448454921849
2025-07-28,8090.02734375,9751.540669053495
2025-07-29,7994.85107421875,9777.686996828634
2025-07-30,7971.05712890625,9781.271731813473
2025-07-31,7875.8798828125,9800.255352318862
2025-08-01,7899.673828125,9812.207959427229
2025-08-04,7875.8798828125,9793.073158780944
2025-08-05,8018.6455078125,9783.090196140334
2025-08-06,7899.673828125,9763.612771722059
2025-08-07,7899.673828125,9769.977673115403
2025-08-08,7899.673828125,9775.510104941402
2025-08-11,8137.6162109375,9753.952017768861
2025-08-12,8423.1474609375,9776.770799486076
2025-08-13,8494.529296875,9779.5330064284
2025-08-14,8351.763671875,9775.796119642628
2025-08-15,8280.380859375,9782.779610588554
2025-08-19,8090.02734375,9792.64338342068
2025-08-20,8113.82177734375,9804.24323993785
2025-08-21,8137.6162109375,9798.688523699015
2025-08-22,8042.43994140625,9801.073208392203
2025-08-25,8066.2333984375,9806.816052418813
2025-08-26,7852.08544921875,9805.37263697953
2025-08-27,7899.673828125,9817.464851111175
2025-08-28,7923.46826171875,9843.611178886315
2025-08-29,7685.5263671875,9847.195913871154
2025-09-01,7614.1435546875,9866.179534376543
2025-09-02,7614.1435546875,9878.13214148491
2025-09-03,7590.349609375,9858.997340838625
2025-09-04,7614.1435546875,9849.014378198015
2025-09-08,7328.61328125,9829.53695377974
2025-09-09,7162.05419921875,9835.901855173084
2025-09-10,7423.7900390625,9841.434286999083
2025-09-11,7471.37890625,9819.876199826542
2025-09-12,7542.76123046875,9842.694981543757
2025-09-15,7637.93798828125,9845.457188486082
2025-09-16,7542.76123046875,9841.720301700308
2025-09-17,7471.37890625,9848.703792646234
2025-09-18,7328.61328125,9858.56756547836
2025-09-19,7423.7900390625,9870.167421995531
2025-09-22,7352.40771484375,9864.612705756696
2025-09-23,7495.1728515625,9866.997390449884
2025-09-24,7399.99560546875,9872.740234476494
2025-09-25,7328.61328125,9871.296819037212
2025-09-26,7257.23095703125,9883.389033168856
2025-09-29,7399.99560546875,9909.535360943995
2025-09-30,7257.23095703125,9913.120095928834
2025-10-01,7138.259765625,9932.103716434223
2025-10-02,7138.259765625,9944.05632354259
2025-10-03,7162.05419921875,9924.921522896306
2025-10-06,7138.259765625,9914.938560255696
2025-10-07,7209.64208984375,9895.46113583742
2025-10-08,7019.28857421875,9901.826037230765
2025-10-09,7185.8486328125,9907.358469056764
2025-10-10,7043.0830078125,9885.800381884223
2025-10-13,6971.70068359375,9908.619163601437
2025-10-14,6900.31787109375,9911.381370543762
2025-10-15,6900.31787109375,9907.64448375799
2025-10-16,6947.90625,9914.627974703915
2025-10-17,7138.259765625,9924.491747536042
2025-10-20,7495.1728515625,9936.091604053212
2025-10-21,8066.2333984375,9930.536887814376
2025-10-22,7804.4970703125,9932.921572507565
2025-10-23,7923.46826171875,9938.664416534175
2025-10-24,7875.8798828125,9937.221001094893
2025-10-27,7947.2626953125,9949.313215226537
2025-10-28,7875.8798828125,9975.459543001676
2025-10-29,8185.20458984375,9979.044277986515
2025-10-30,8113.82177734375,9998.027898491906
2025-10-31,8113.82177734375,10009.980505600271
2025-11-03,8232.79296875,9990.845704953987
2025-11-04,8232.79296875,9980.862742313377
2025-11-05,8280.380859375,9961.385317895101
2025-11-06,8137.6162109375,9967.750219288446
2025-11-07,8256.5869140625,9973.282651114445
2025-11-10,8161.41064453125,9951.724563941903
2025-11-11,7994.85107421875,9974.543345659118
2025-11-12,8090.02734375,9977.305552601443
2025-11-13,7971.05712890625,9973.56866581567
2025-11-14,8018.6455078125,9980.552156761596
2025-11-17,8161.41064453125,9990.415929593722
2025-11-18,7994.85107421875,10002.015786110893
2025-11-19,8066.2333984375,9996.461069872057
2025-11-20,8018.6455078125,9998.845754565245
2025-11-21,7994.85107421875,10004.588598591856
2025-11-24,8066.2333984375,10003.145183152574
2025-11-25,8090.02734375,10015.237397284218
2025-11-26,8018.6455078125,10041.383725059357
2025-11-27,7923.46826171875,10044.968460044196
2025-11-28,7875.8798828125,10063.952080549587
2025-12-01,7994.85107421875,10075.904687657952
2025-12-02,7971.05712890625,10056.769887011667
2025-12-03,7951.8955078125,10046.786924371057
2025-12-04,7880.04150390625,10027.309499952784
2025-12-05,7951.8955078125,10033.674401346127
2025-12-08,7951.8955078125,10039.206833172126
2025-12-09,7760.28369140625,10017.648745999584
2025-12-10,7736.33251953125,10040.467527716799
2025-12-11,7664.47802734375,10043.229734659124
2025-12-12,7664.47802734375,10039.492847873351
2025-12-15,7951.8955078125,10046.476338819277
2025-12-16,7736.33251953125,10056.340111651403
2025-12-17,7688.42919921875,10067.939968168574
2025-12-18,7832.13818359375,10062.385251929738
2025-12-19,7712.380859375,10064.769936622926
2025-12-22,7832.13818359375,10070.512780649537
2025-12-23,7688.42919921875,10069.069365210255
2025-12-24,7688.42919921875,10081.161579341899
2025-12-29,7688.42919921875,10107.307907117038
2025-12-30,7736.33251953125,10110.892642101877
2026-01-02,7688.42919921875,10129.876262607268
2026-01-05,7736.33251953125,10141.828869715633
2026-01-06,7832.13818359375,10122.694069069348
2026-01-07,7808.18701171875,10112.711106428738
2026-01-08,7712.380859375,10093.233682010465
2026-01-09,7784.2353515625,10099.598583403807
